epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1747,1.0125,3.87397,1.00793,0,0,0,0,0.6909,3.79761,0.83763,4.444e-05,4.444e-05,4.444e-05
2,28.3495,0.88299,3.69094,0.95261,0.00601,0.30222,0.01199,0.00722,0.6572,3.72547,0.82529,9.80102e-05,9.80102e-05,9.80102e-05
3,40.2001,0.84316,3.38958,0.92614,0.01106,0.77556,0.09317,0.05691,0.72756,3.61569,0.82191,0.000149381,0.000149381,0.000149381
4,53.5497,0.81379,3.09607,0.92662,0.01248,0.95556,0.1782,0.12707,0.65876,3.52734,0.80062,0.000198551,0.000198551,0.000198551
5,64.4095,0.83271,2.83887,0.92194,0.01212,1,0.24541,0.15921,0.72501,3.5415,0.80255,0.000245522,0.000245522,0.000245522
6,75.6807,0.77867,2.44248,0.89698,0.01132,1,0.34659,0.21731,0.73871,3.52811,0.80923,0.000290293,0.000290293,0.000290293
7,86.602,0.82511,2.02493,0.93407,0.01091,1,0.47252,0.32224,0.735,3.45976,0.83109,0.000332864,0.000332864,0.000332864
8,97.2,0.81975,1.77921,0.94161,0.01146,1,0.64266,0.47108,0.75324,3.3971,0.84332,0.000373236,0.000373236,0.000373236
9,107.742,0.80445,1.45442,0.92342,0.01158,1,0.76695,0.53726,0.70284,3.36949,0.83405,0.000411408,0.000411408,0.000411408
10,118.255,0.78779,1.20808,0.93271,0.01182,1,0.78506,0.55716,0.68245,3.32059,0.83312,0.00044738,0.00044738,0.00044738
11,128.131,0.78894,1.09268,0.92827,1,0.13885,0.72993,0.5361,0.64972,3.21378,0.84277,0.000481152,0.000481152,0.000481152
12,138.125,0.7611,1.01033,0.91668,1,0.07736,0.7914,0.56118,0.76188,3.00875,0.87345,0.000512724,0.000512724,0.000512724
13,149.526,0.74746,0.91092,0.92606,1,0.2504,0.79003,0.56979,0.7375,2.92523,0.87065,0.000542097,0.000542097,0.000542097
14,161.403,0.74573,0.90692,0.91287,1,0.25115,0.82769,0.6298,0.71432,2.75656,0.87182,0.00056927,0.00056927,0.00056927
15,172.012,0.70594,0.84685,0.90592,1,0.21436,0.93783,0.76477,0.7162,2.63299,0.86822,0.000594243,0.000594243,0.000594243
16,182.53,0.72755,0.83161,0.91005,1,0.25355,0.97417,0.78686,0.74893,2.5376,0.89015,0.000617016,0.000617016,0.000617016
17,193.915,0.71256,0.8057,0.90562,0.99509,0.47089,0.995,0.82904,0.69585,2.21548,0.90037,0.00063759,0.00063759,0.00063759
18,206.148,0.70595,0.78234,0.90328,0.98533,0.67737,0.995,0.82774,0.65298,2.02636,0.8921,0.000655963,0.000655963,0.000655963
19,216.63,0.72179,0.77034,0.91276,0.97257,0.75716,0.995,0.82028,0.66345,1.89325,0.8998,0.000672137,0.000672137,0.000672137
20,227.354,0.70071,0.75125,0.93114,0.93036,0.77778,0.991,0.78727,0.74314,1.68729,0.94865,0.000686111,0.000686111,0.000686111
21,237.467,0.71089,0.73301,0.93106,0.93655,0.83377,0.9884,0.80265,0.69334,1.56263,0.92505,0.000671044,0.000671044,0.000671044
22,247.944,0.69248,0.73769,0.89632,0.92964,0.86692,0.9906,0.80271,0.71235,1.42677,0.93504,0.000649046,0.000649046,0.000649046
23,259.419,0.64621,0.67108,0.88711,0.93147,0.94356,0.995,0.82119,0.69462,1.31219,0.92338,0.000627048,0.000627048,0.000627048
24,269.762,0.67272,0.65096,0.90975,0.95259,0.99054,0.995,0.836,0.66674,1.20704,0.91738,0.000605051,0.000605051,0.000605051
25,279.78,0.65051,0.64366,0.89223,0.95238,0.99327,0.995,0.83934,0.66378,1.16128,0.91477,0.000583053,0.000583053,0.000583053
26,290.739,0.6436,0.63796,0.87598,0.95262,0.99484,0.995,0.83602,0.65231,1.10433,0.89919,0.000561055,0.000561055,0.000561055
27,302.524,0.65504,0.65702,0.89569,0.95394,0.99517,0.995,0.82245,0.68181,1.06691,0.90168,0.000539057,0.000539057,0.000539057
28,313.374,0.62907,0.63149,0.89336,0.95316,1,0.995,0.84755,0.64048,0.90116,0.89015,0.000517059,0.000517059,0.000517059
